"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria88","0206410100","Hígados"
"catalogos_fraccionarancelaria89","0206490100","Pieles de cerdo enteras o en recortes excepto el cuero precocido en trozos (""pellets"")"
"catalogos_fraccionarancelaria90","0206499900","Los demás"
"catalogos_fraccionarancelaria91","0206809100","Los demás frescos o refrigerados"
"catalogos_fraccionarancelaria92","0206909100","Los demás congelados"
"catalogos_fraccionarancelaria93","0207110100","Sin trocear frescos o refrigerados"
"catalogos_fraccionarancelaria94","0207120100","Sin trocear congelados"
"catalogos_fraccionarancelaria95","0207130401","Mecánicamente deshuesados (pastas)"
"catalogos_fraccionarancelaria96","0207130402","Carcasas"
"catalogos_fraccionarancelaria97","0207130403","Piernas muslos o piernas unidas al muslo"
"catalogos_fraccionarancelaria98","0207130404","Alas y sus partes"
"catalogos_fraccionarancelaria99","0207130405","Pechuga sus trozos y recortes con hueso"
"catalogos_fraccionarancelaria100","0207130406","Filetes de pechuga y pechuga sus trozos y recortes sin hueso (deshuesada)"
"catalogos_fraccionarancelaria101","0207130499","Los demás"
"catalogos_fraccionarancelaria102","0207140200","Hígados"
"catalogos_fraccionarancelaria103","0207149901","Mecánicamente deshuesados (pastas)"
"catalogos_fraccionarancelaria104","0207149902","Piernas muslos o piernas unidas al muslo"
"catalogos_fraccionarancelaria105","0207149903","Alas y sus partes"
"catalogos_fraccionarancelaria106","0207149904","Pechuga sus trozos y recortes con hueso"
"catalogos_fraccionarancelaria107","0207149905","Filetes de pechuga y pechuga sus trozos y recortes sin hueso (deshuesada)"
"catalogos_fraccionarancelaria108","0207149999","Los demás"
"catalogos_fraccionarancelaria109","0207240100","Sin trocear frescos o refrigerados"
"catalogos_fraccionarancelaria110","0207250100","Sin trocear congelados"
"catalogos_fraccionarancelaria111","0207260301","Mecánicamente deshuesados (pastas)"
"catalogos_fraccionarancelaria112","0207260399","Los demás"
"catalogos_fraccionarancelaria113","0207270200","Hígados"
"catalogos_fraccionarancelaria114","0207279901","Mecánicamente deshuesados (pastas)"
"catalogos_fraccionarancelaria115","0207279999","Los demás"
"catalogos_fraccionarancelaria116","0207410100","Sin trocear frescos o refrigerados"
"catalogos_fraccionarancelaria117","0207420100","Sin trocear congelados"
"catalogos_fraccionarancelaria118","0207430100","Hígados grasos frescos o refrigerados"
"catalogos_fraccionarancelaria119","0207449100","Los demás frescos o refrigerados"
"catalogos_fraccionarancelaria120","0207450100","Hígados"
"catalogos_fraccionarancelaria121","0207459900","Los demás"
"catalogos_fraccionarancelaria122","0207510100","Sin trocear frescos o refrigerados"
"catalogos_fraccionarancelaria123","0207520100","Sin trocear congelados"
"catalogos_fraccionarancelaria124","0207530100","Hígados grasos frescos o refrigerados"
"catalogos_fraccionarancelaria125","0207549100","Los demás frescos o refrigerados"
"catalogos_fraccionarancelaria126","0207550100","Hígados"
"catalogos_fraccionarancelaria127","0207559900","Los demás"
"catalogos_fraccionarancelaria128","0207600300","De pintada"
"catalogos_fraccionarancelaria129","0208100100","De conejo o liebre"
"catalogos_fraccionarancelaria130","0208300100","De primates"
"catalogos_fraccionarancelaria131","0208400100","De ballenas delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas leones marinos y morsas (mamíferos del suborden Pinnipedia)"
"catalogos_fraccionarancelaria132","0208500100","De reptiles (incluidas las serpientes y tortugas de mar)"
"catalogos_fraccionarancelaria133","0208600100","De camellos y demás camélidos (Camelidae)"
"catalogos_fraccionarancelaria134","0208909900","Los demás"
"catalogos_fraccionarancelaria135","0209100100","De cerdo"
"catalogos_fraccionarancelaria136","0209900100","De gallo gallina o pavo (gallipavo)"
"catalogos_fraccionarancelaria137","0209909900","Los demás"
"catalogos_fraccionarancelaria138","0210110100","Jamones paletas y sus trozos sin deshuesar"
"catalogos_fraccionarancelaria139","0210120100","Tocino entreverado de panza (panceta) y sus trozos"
"catalogos_fraccionarancelaria140","0210199900","Las demás"
"catalogos_fraccionarancelaria141","0210200100","Carne de la especie bovina"
"catalogos_fraccionarancelaria142","0210910100","De primates"
"catalogos_fraccionarancelaria143","0210920100","De ballenas delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas leones marinos y morsas (mamíferos del suborden Pinnipedia)"
"catalogos_fraccionarancelaria144","0210930100","De reptiles (incluidas las serpientes y tortugas de mar)"
"catalogos_fraccionarancelaria145","0210990200","Pieles de cerdo ahumadas enteras o en recortes"
"catalogos_fraccionarancelaria146","0210999900","Los demás"
"catalogos_fraccionarancelaria147","0301110100","De agua dulce"
"catalogos_fraccionarancelaria148","0301199900","Los demás"
"catalogos_fraccionarancelaria149","0301910100","Truchas (Salmo trutta Oncorhynchus mykiss Oncorhynchus clarki Oncorhynchus aguabonita Oncorhynchus gilae Oncorhynchus apache y Oncorhynchus chrysogaster)"
"catalogos_fraccionarancelaria150","0301920100","Anguilas (Anguilla spp)"
"catalogos_fraccionarancelaria151","0301930100","Carpas (Cyprinus spp Carassius spp Ctenopharyngodon idellus Hypophthalmichthys spp Cirrhinus spp Mylopharyngodon piceus Catla catla Labeo spp Osteochilus hasselti Leptobarbus hoeveni Megalobrama spp)"
"catalogos_fraccionarancelaria152","0301940100","Atunes comunes o de aleta azul del Atlántico y del Pacífico (Thunnus thynnus Thunnus orientalis)"
"catalogos_fraccionarancelaria153","0301950100","Atunes del sur (Thunnus maccoyii)"
"catalogos_fraccionarancelaria154","0301999900","Los demás"
"catalogos_fraccionarancelaria155","0302110100","Truchas (Salmo trutta Oncorhynchus mykiss Oncorhynchus clarki Oncorhynchus aguabonita Oncorhynchus gilae Oncorhynchus apache y Oncorhynchus chrysogaster)"
"catalogos_fraccionarancelaria156","0302130100","Salmones del Pacífico (Oncorhynchus nerka Oncorhynchus gorbuscha Oncorhynchus keta Oncorhynchus tschawytscha Oncorhynchus kisutch Oncorhynchus masou y Oncorhynchus rhodurus)"
"catalogos_fraccionarancelaria157","0302140100","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
"catalogos_fraccionarancelaria158","0302199900","Los demás"
"catalogos_fraccionarancelaria159","0302210100","Fletanes (halibut) (Reinhardtius hippoglossoides Hippoglossus hippoglossus Hippoglossus stenolepis)"
"catalogos_fraccionarancelaria160","0302220100","Sollas (Pleuronectes platessa)"
"catalogos_fraccionarancelaria161","0302230100","Lenguados (Solea spp)"
"catalogos_fraccionarancelaria162","0302240100","Rodaballos (turbots) (Psetta maxima)"
"catalogos_fraccionarancelaria163","0302299900","Los demás"
"catalogos_fraccionarancelaria164","0302310100","Albacoras o atunes blancos (Thunnus alalunga)"
"catalogos_fraccionarancelaria165","0302320100","Atunes de aleta amarilla (rabiles) (Thunnus albacares)"
"catalogos_fraccionarancelaria166","0302330100","Listados (bonitos de vientre rayado) (Katsuwonus pelamis)"
"catalogos_fraccionarancelaria167","0302340100","Patudos o atunes ojo grande (Thunnus obesus)"
"catalogos_fraccionarancelaria168","0302350100","Atunes comunes o de aleta azul del Atlántico y del Pacífico (Thunnus thynnus Thunnus orientalis)"
"catalogos_fraccionarancelaria169","0302360100","Atunes del sur (Thunnus maccoyii)"
"catalogos_fraccionarancelaria170","0302399900","Los demás"
"catalogos_fraccionarancelaria171","0302410100","Arenques (Clupea harengus Clupea pallasii)"
"catalogos_fraccionarancelaria172","0302420100","Anchoas (Engraulis spp)"
"catalogos_fraccionarancelaria173","0302430100","Sardinas (Sardina pilchardus Sardinops spp) sardinelas (Sardinella spp) y espadines (Sprattus sprattus)"
"catalogos_fraccionarancelaria174","0302440100","Caballas (Scomber scombrus Scomber australasicus Scomber japonicus)"
"catalogos_fraccionarancelaria175","0302450100","Jureles (Trachurus spp)"
"catalogos_fraccionarancelaria176","0302460100","Cobias (Rachycentron canadum)"
"catalogos_fraccionarancelaria177","0302470100","Peces espada (Xiphias gladius)"
"catalogos_fraccionarancelaria178","0302499900","Los demás"
"catalogos_fraccionarancelaria179","0302510100","Bacalaos (Gadus morhua Gadus ogac Gadus macrocephalus)"
"catalogos_fraccionarancelaria180","0302520100","Eglefinos (Melanogrammus aeglefinus)"
"catalogos_fraccionarancelaria181","0302530100","Carboneros (Pollachius virens)"
"catalogos_fraccionarancelaria182","0302540100","Merluzas (Merluccius spp Urophycis spp)"
"catalogos_fraccionarancelaria183","0302550100","Abadejos de Alaska (Theragra chalcogramma)"
